Name,Source,Page,Prerequisites,Ability Scores,Repeatable,Description,5etools Link
Minor Corruption,ObojimaTallGrass,163,,,No,"You were exposed to the Corruption, a dark magic that's poisoning the island.
It's now begun to alter you as well.
You gain the following benefits:You gain a +1 bonus to AC while you have less than half of your hit points remaining.You can draw upon the Corruption within you to channel your magical power.
You don't need to use a spellcasting focus for your spells, allowing you to ignore the material components specified for the spell, unless the component indicates a cost or is consumed by the spell.As a reaction, when you take damage, you can temporarily negate an amount of the damage equal to three times your level; you take any excess damage as normal.
At the end of your next turn, you must make a Constitution saving throw, the DC of which is equal to 10 or one-third the damage you would have taken, whichever number is higher.
On a failed save, you immediately take the negated damage.
You must continue to make a Constitution saving throw at the end of each of your turns for 1 minute or until you fail the save, at which point you take the negated damage.
Once you take this reaction, you can't do so again until you finish a long rest.",https://5e.tools/feats.html#minor%20corruption_obojimatallgrass
Mobile,PHB,168,,,No,"You are exceptionally speedy and agile.
You gain the following benefits:Your speed increases by 10 feet.When you use the Dash action, difficult terrain doesn't cost you extra movement on that turn.When you make a melee attack against a creature, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not.",https://5e.tools/feats.html#mobile_phb
Moderately Armored,PHB,168,Proficiency with light armor,,No,"You have trained to master the use of medium armor and shields, gaining the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.You gain proficiency with medium armor and shields.",https://5e.tools/feats.html#moderately%20armored_phb
Mounted Combatant,PHB,168,,,No,"You are a dangerous foe to face while mounted.
While you are mounted and aren't incapacitated, you gain the following benefits:You have advantage on melee attack rolls against any unmounted creature that is smaller than your mount.You can force an attack targeted at your mount to target you instead.If your mount is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.",https://5e.tools/feats.html#mounted%20combatant_phb
Nakudama's Electric Bloodline,ObojimaTallGrass,164,You must be a Nakudama,,No,"Although it's uncommon in today's day and age, some Nakudama are able to awaken the now dormant skills held by their warring ancestors.
You gain the following benefits:You have resistance to lightning damage.You have an electrified tongue that you can use to make unarmed strikes.
It has the finesse and reach properties, and when you hit with it, the strike deals lightning damage equal to 1d6 + your Strength or Dexterity modifier, instead of the bludgeoning damage normal for an unarmed strike.
The damage from your tongue increases when you reach 5th level (1d8), 11th level (1d10), and 17th level (1d12).When you become grappled by a creature, you can use your reaction to force the creature to make a Constitution saving throw (DC 8 + your Constitution modifier + your proficiency bonus).
On a failed save, the creature takes 1d10 lightning damage and the grapple ends.",https://5e.tools/feats.html#nakudama's%20electric%20bloodline_obojimatallgrass
Nakudama's Toxin Bloodline,ObojimaTallGrass,164,You must be a Nakudama,,No,"Although it's uncommon in today's day and age, some Nakudama are able to awaken the now dormant skills held by their warring ancestors.
You gain the following benefits:You have resistance to poison damage.You have advantage on saving throws against being poisoned.You can cause your cheeks to swell and bubble out as your mouth fills with liquid poison.
As an action, you can spit several globs of poison in quick succession, targeting a number of creatures equal to your proficiency bonus.
Each target must be within 30 feet of you and must make a Constitution saving throw (DC 8 + your Constitution modifier + your proficiency bonus).
A target takes poison damage equal to 1d8 + your proficiency bonus on a failed save, or half as much damage on a successful one.",https://5e.tools/feats.html#nakudama's%20toxin%20bloodline_obojimatallgrass
Nimbleness,TLotRR,80,,,No,"Your skill (or fortune?) in battle has increased with your growth in experience.Increase your Dexterity score by 1, to a maximum of 20.You gain a +1 bonus to AC.
You lose this bonus if you are incapacitated or wielding a shield.",https://5e.tools/feats.html#nimbleness_tlotrr
Observant,PHB,168,,,No,"Quick to notice details of your environment, you gain the following benefits:Increase your Intelligence or Wisdom by 1, to a maximum of 20.If you can see a creature's mouth while it is speaking a language you understand, you can interpret what it's saying by reading its lips.You have a +5 bonus to your passive Wisdom (Perception) and passive Intelligence (Investigation) scores.",https://5e.tools/feats.html#observant_phb
Opportunistic Thief,HumblewoodCampaignSetting,47,,,No,"You have learned the tricks of the trade of thievery, allowing you to exploit opportunities for pick-pocketing both in and out of combat.
You gain the following benefits:Increase your Dexterity score by 1, to a maximum of 20.When a creature fails a melee attack roll against you in combat, you can make a Dexterity (Sleight of Hand) check against a DC equal to 10 + the target's Dexterity modifier.
On a success, you may steal any one item that is not being held or worn by the target.Whenever you successfully use your Sleight of Hand skill outside of combat to steal an object, you may immediately conceal it flawlessly on your person, or put another object you possess in its place.",https://5e.tools/feats.html#opportunistic%20thief_humblewoodcampaignsetting
Orcish Fury,XGE,75,Half-Orc,,No,"Your fury burns tirelessly.
You gain the following benefits:Increase your Strength or Constitution by 1, to a maximum of 20.When you hit with an attack using a simple or martial weapon, you can roll one of the weapon's damage dice an additional time and add it as extra damage of the weapon's damage type.
Once you use this ability, you can't use it again until you finish a short or long rest.Immediately after you use your Relentless Endurance trait, you can use your reaction to make one weapon attack.",https://5e.tools/feats.html#orcish%20fury_xge
Outlands Envoy,SatO,10,"4th level, scion of the outer planes (the outlands)",,No,"You have spent significant time in Sigil or the Outlands, the crossroads of the multiverse.
Being steeped in converging planar energies grants you these benefits:Ability Score Increase.
Increase one ability score of your choice by 1, to a maximum of 20.Crossroads Emissary.
You learn the misty step and tongues spells.
You can cast each spell once using this feat without a spell slot, and you must finish a long rest before you can cast that spell in this way again.
When you cast tongues using this feat, you require no material components.
You can also cast these spells using spell slots you have of the appropriate level.
The spells' spellcasting ability is the one chosen when you gained the Scion of the Outer Planes feat.",https://5e.tools/feats.html#outlands%20envoy_sato
Perfect Landing,HumblewoodCampaignSetting,47,,,No,"Years of living at great heights have taught you how to fall more gracefully.
You gain the following benefits:Increase your Dexterity score by 1, to a maximum of 20.Reduce the damage die for fall damage from a d6 to a d4.You do not fall prone after taking falling damage.You do not take damage for the first 30 feet of your fall.",https://5e.tools/feats.html#perfect%20landing_humblewoodcampaignsetting
Piercer,TCE,80,,,No,"You have achieved a penetrating precision in combat, granting you the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.Once per turn, when you hit a creature with an attack that deals piercing damage, you can reroll one of the attack's damage dice, and you must use the new roll.When you score a critical hit that deals piercing damage to a creature, you can roll one additional damage die when determining the extra piercing damage the target takes.",https://5e.tools/feats.html#piercer_tce
Planar Wanderer,SatO,11,"4th level, scion of the outer planes",,No,"You can draw on the forces of the multiverse to survive cosmic extremes and to traverse its infinite realms, granting you these benefits:Planar Adaptation.
When you finish a long rest, you gain resistance to either acid, cold, or fire damage (your choice) until you finish your next long rest.Portal Cracker.
Your experience with portals allows you to open them without a portal key.
As an action, you can concentrate on a portal you're aware of that is within 5 feet of yourself and make a DC 20 Intelligence (Arcana) check.
On a failed check, you take 3d8 psychic damage and can't use this benefit on that portal again until you finish a long rest.
On a successful check, you can force the portal open or closed for 1 hour.
For that duration, the portal doesn't respond to its portal key unless a creature employing the key succeeds on a DC 20 Intelligence (Arcana) check as an action.Portal Sense.
You know the direction to the last planar portal you used while you and the portal are on the same plane of existence.
Moreover, as an action, you can detect the location of any portals within 30 feet of you that aren't behind total cover.
Once you detect a portal with this action, you can't use the action again until you finish a long rest.",https://5e.tools/feats.html#planar%20wanderer_sato
Plantmender,HumblewoodTales,172,Wisdom 13 or higher,,No,"One of the basic forms of Tender magic, plantmending is often taught to seedlings of the order.
Plantmending can be used either to help the forest recover from disasters or to defend against hazards that might be encountered while traveling.
You gain the following benefits:You can touch a plant or tree as an action to determine what has occurred to it and the area within its immediate vicinity within the last 24 hours.
These events are revealed to you in visions that appear as though you were present as they occurred.
After using this ability on a plant, you instantly become aware of its status and health, including any blights or conditions currently affecting it.
You can use this ability a number of times equal to twice your Wisdom modifier (minimum of 1), regaining expended uses of it when you complete a long rest.You learn the mend plants* and shillelagh cantrips.
Wisdom is your spellcasting ability for these spells.You can cast either the barkskin or spike growth spell once, and you must complete a long rest before you can cast either spell again.
Wisdom is your spellcasting ability for these spells.",https://5e.tools/feats.html#plantmender_humblewoodtales
Poisoner,TCE,80,,,No,"You can prepare and deliver deadly poisons, granting you the following benefits:When you make a damage roll that deals poison damage, it ignores resistance to poison damage.You can apply poison to a weapon or piece of ammunition as a bonus action, instead of an action.You gain proficiency with the poisoner's kit if you don't already have it.
With one hour of work using a poisoner's kit and expending 50 gp worth of materials, you can create a number of doses of potent poison equal to your proficiency bonus.
Once applied to a weapon or piece of ammunition, the poison retains its potency for 1 minute or until you hit with the weapon or ammunition.
When a creature takes damage from the coated weapon or ammunition, that creature must succeed on a DC 14 Constitution saving throw or take 2d8 poison damage and become poisoned until the end of your next turn.",https://5e.tools/feats.html#poisoner_tce
Polearm Master,PHB,168,,,No,"You can keep your enemies at bay with reach weapons.
You gain the following benefits:When you take the Attack action and attack with only a glaive, halberd, quarterstaff, or spear, you can use a bonus action to make a melee attack with the opposite end of the weapon; this attack uses the same ability modifier as the primary attack.
The weapon's damage die for this attack is a d4, and the attack deals bludgeoning damage.While you are wielding a glaive, halberd, pike, quarterstaff, or spear, other creatures provoke an opportunity attack from you when they enter the reach you have with that weapon.",https://5e.tools/feats.html#polearm%20master_phb
Postal Knight,ObojimaTallGrass,164,You must be a member of the Courier Brigade,,No,"You have trained as a member of the Courier Brigade.
You gain the following benefits:Increase your Constitution or Wisdom by 1, to a maximum of 20.You gain proficiency in the Athletics and Survival skills.Exhaustion doesn't cause you to have disadvantage on ability checks.",https://5e.tools/feats.html#postal%20knight_obojimatallgrass
Potion Brewer,ObojimaTallGrass,164,,,No,"Your expertise and understanding of magical potions and elixirs allow you to finesse ingredients and recipes to your specifications.
You gain the following benefits:When brewing potions, you can choose to take the second-highest ingredient attribute number from your potion recipe, instead of the first.When brewing a potion, you can roll percentile dice.
If you roll a number equal to or lower than your level, you create two potions instead of one.",https://5e.tools/feats.html#potion%20brewer_obojimatallgrass
Prodigy,XGE,75,"Half-Elf, half-orc, or human",,No,"You have a knack for learning new things.
You gain the following benefits:You gain one skill proficiency of your choice, one tool proficiency of your choice, and fluency in one language of your choice.Choose one skill in which you have proficiency.
You gain expertise with that skill, which means your proficiency bonus is doubled for any ability check you make with it.
The skill you choose must be one that isn't already benefiting from a feature, such as Expertise, that doubles your proficiency bonus.",https://5e.tools/feats.html#prodigy_xge
Prowess,TLotRR,80,,,No,"Adventuring has honed your inborn talents.Increase one ability score of your choice by 2, or two ability scores of your choice by 1, to a maximum of 20.",https://5e.tools/feats.html#prowess_tlotrr
Resilient,PHB,168,,,No,"Choose one ability score.
You gain the following benefits:Increase the chosen ability score by 1, to a maximum of 20.You gain proficiency in saving throws using the chosen ability.",https://5e.tools/feats.html#resilient_phb
Revenant Blade,ERLW,22,Elf,,No,"You are descended from a master of the double-bladed scimitar, and some of that mastery has passed on to you.
You gain the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.While you are holding a double-bladed scimitar with two hands, you gain a +1 bonus to Armor Class.A double-bladed scimitar has the finesse property when you wield it.",https://5e.tools/feats.html#revenant%20blade_erlw
Reward,TLotRR,68,,,Yes,"You choose a reward (see Chapter 4).
Special.
You may take this feature multiple times.",https://5e.tools/feats.html#reward_tlotrr
Righteous Heritor,SatO,11,"4th level, scion of the outer planes (good outer plane)",,No,"You can channel cosmic forces of good to gain these benefits:Ability Score Increase.
Increase one ability score of your choice by 1, to a maximum of 20.Soothe Pain.
When you or a creature within 30 feet of you takes damage, you can use your reaction to reduce that damage by 1d10 + your proficiency bonus.
You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#righteous%20heritor_sato
Ritual Caster,PHB,169,Intelligence or Wisdom 13 or higher,,No,"You have learned a number of spells that you can cast as rituals.
These spells are written in a ritual book, which you must have in hand while casting one of them.When you choose this feat, you acquire a ritual book holding two 1st-level spells of your choice.
Choose one of the following classes:
bard, cleric, druid, sorcerer, warlock, or wizard.
You must choose your spells from that class's spell list, and the spells you choose must have the ritual tag.
The class you choose also determines your spellcasting ability for these spells:
Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard.If you come across a spell in written form, such as a magical spell scroll or a wizard's spellbook, you might be able to add it to your ritual book.
The spell must be on the spell list for the class you chose, the spell's level can be no higher than half your level (rounded up), and it must have the ritual tag.
The process of copying the spell into your ritual book takes 2 hours per level of the spell, and costs 50 gp per level.
The cost represents material components you expend as you experiment with the spell to master it, as well as the fine inks you need to record it.",https://5e.tools/feats.html#ritual%20caster_phb
Royalty Revealed,TLotRR,90,,,No,"Your kin belong to a bloodline of kings, but they have learnt to hide from their enemies in the twilight years of their kingdom.
Should you choose to reveal your heritage, your noble bearing will cause your allies to cast away their doubts.
You reveal yourself by shouting an ancestral battle-cry, or unsheathing a weapon of high lineage, or by showing a device or coat of arms.Increase your Strength or Charisma by 1, to a maximum of 20.As a bonus action, you can choose to reveal your lineage.
When you do so, choose a number of friendly creatures (which can include yourself) within 30 feet of you who can see or hear you, up to twice your proficiency bonus.
Until the end of your next turn, each creature gains advantage on attack rolls and Charisma (Intimidation) checks, and is immune to being frightened.
It also gains temporary hit points equal to your choice of your Strength or Charisma modifier (minimum 1).
These temporary hit points last until they are depleted or the creature finishes a short or long rest.
Once you use this virtue, you cannot use it again until you finish a short or long rest.",https://5e.tools/feats.html#royalty%20revealed_tlotrr
Rune Shaper,BGG,18,Spellcasting Feature or Rune Carver,,No,See 5etools link for full description,https://5e.tools/feats.html#rune%20shaper_bgg
Rune-Craft,TLotRR,65,,,No,"You can now read and write runic inscriptions.
You can use the runes to convey secret messages to other creatures who know them, or whom you previously instructed in their meaning.At the end of a short or long rest, you can spend a craft slot and choose a magical item in the Company's possession.
Make an Intelligence (Old Lore) check.
The DC is 10 for a Marvellous Artefact, 15 for a Wondrous Item, or 20 for a Famous Weapon or Armour.
If you succeed, you learn all there is to be discovered about the item's qualities, and whether it is cursed or not.In addition, during a Fellowship Phase, you can spend a craft slot to inscribe runes of power on a non-magical item of your choice, or on two items when you reach 5th level.
You must be proficient with the tools related to the substance of which the item you choose is made (smith's tools for metal, woodcarver's tools for wood, etc.).
While a creature holds or wears the item, it gains a +1 bonus to saving throws.
If the item is a shield or a weapon, you may attribute it a bane instead (see Chapter 7).
Choose a creature type among Evil Men, Orcs, Spiders, Trolls, Undead, or Wolves.
If the item has one or more rewards, their effects are doubled against bane creatures (for example, a Keen weapon scores a critical hit on a roll of 18–20 against bane creatures).
The runes can only be inscribed once on each item, and you cannot regain a craft slot expended in this way until the next Fellowship Phase, when you can cancel the runes inscribed with that slot and regain the slot, if you wish.",https://5e.tools/feats.html#rune-craft_tlotrr
Savage Attacker,PHB,169,,,No,"Once per turn when you roll damage for a melee weapon attack, you can reroll the weapon's damage dice and use either total.",https://5e.tools/feats.html#savage%20attacker_phb
Scion of the Outer Planes,SatO,12,Planescape Campaign,,No,See 5etools link for full description,https://5e.tools/feats.html#scion%20of%20the%20outer%20planes_sato
Second Chance,XGE,75,Halfling,,No,"Fortune favors you when someone tries to strike you.
You gain the following benefits:Increase your Dexterity, Constitution, or Charisma by 1, to a maximum of 20.When a creature you can see hits you with an attack roll, you can use your reaction to force that creature to reroll.
Once you use this ability, you can't use it again until you roll initiative at the start of combat or until you finish a short or long rest.",https://5e.tools/feats.html#second%20chance_xge
Sentinel,PHB,169,,,No,"You have mastered techniques to take advantage of every drop in any enemy's guard, gaining the following benefits:When you hit a creature with an opportunity attack, the creature's speed becomes 0 for the rest of the turn.Creatures provoke opportunity attacks from you even if they take the Disengage action before leaving your reach.When a creature within 5 feet of you makes an attack against a target other than you (and that target doesn't have this feat), you can use your reaction to make a melee weapon attack against the attacking creature.",https://5e.tools/feats.html#sentinel_phb
Shadow Touched,TCE,80,,,No,"Your exposure to the Shadowfell's magic has changed you, granting you the following benefits:Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.You learn the invisibility spell and one 1st-level spell of your choice.
The 1st-level spell must be from the illusion or necromancy school of magic.
You can cast each of these spells without expending a spell slot.
Once you cast either of these spells in this way, you can't cast that spell in this way again until you finish a long rest.
You can also cast these spells using spell slots you have of the appropriate level.
The spells' spellcasting ability is the ability increased by this feat.",https://5e.tools/feats.html#shadow%20touched_tce
Sharpshooter,PHB,170,,,No,"You have mastered ranged weapons and can make shots that others find impossible.
You gain the following benefits:Attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls.Your ranged weapon attacks ignore half cover and three-quarters cover.Before you make an attack with a ranged weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll.
If the attack hits, you add +10 to the attack's damage.",https://5e.tools/feats.html#sharpshooter_phb
Shield Master,PHB,170,,,No,"You use shields not just for protection but also for offense.
You gain the following benefits while you are wielding a shield:If you take the Attack action on your turn, you can use a bonus action to try to shove a creature within 5 feet of you with your shield.If you aren't incapacitated, you can add your shield's AC bonus to any Dexterity saving throw you make against a spell or other harmful effect that targets only you.If you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you can use your reaction to take no damage if you succeed on the saving throw, interposing your shield between yourself and the source of the effect.",https://5e.tools/feats.html#shield%20master_phb
Skill Expert,TCE,80,,,No,"You have honed your proficiency with particular skills, granting you the following benefits:Increase one ability score of your choice by 1, to a maximum of 20.You gain proficiency in one skill of your choice.Choose one skill in which you have proficiency.
You gain expertise with that skill, which means your proficiency bonus is doubled for any ability check you make with it.
The skill you choose must be one that isn't already benefiting from a feature, such as Expertise, that doubles your proficiency bonus.",https://5e.tools/feats.html#skill%20expert_tce
Skilled,PHB,170,,,No,You gain proficiency in any combination of three skills or tools of your choice.,https://5e.tools/feats.html#skilled_phb
Skulker,PHB,170,Dexterity 13 or higher,,No,"You are expert at slinking through shadows.
You gain the following benefits:You can try to hide when you are lightly obscured from the creature from which you are hiding.When you are hidden from a creature and miss it with a ranged weapon attack, making the attack doesn't reveal your position.Dim light doesn't impose disadvantage on your Wisdom (Perception) checks relying on sight.",https://5e.tools/feats.html#skulker_phb
Slasher,TCE,81,,,No,"You've learned where to cut to have the greatest results, granting you the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.Once per turn when you hit a creature with an attack that deals slashing damage, you can reduce the speed of the target by 10 feet until the start of your next turn.When you score a critical hit that deals slashing damage to a creature, you grievously wound it.
Until the start of your next turn, the target has disadvantage on all attack rolls.",https://5e.tools/feats.html#slasher_tce
Small Folk,TLotRR,87,,,No,"Hobbits are a little people, but their resourcefulness far exceeds their stature.
You have learnt how to exploit your small size to your advantage in a fight.Increase your Dexterity score by 1, to a maximum of 20.Medium or larger creatures cannot gain advantage on attack rolls against you while you are not incapacitated.You don't provoke opportunity attacks from Medium or larger creatures.",https://5e.tools/feats.html#small%20folk_tlotrr
Sneak Attack,TLotRR,68,,,No,"You gain the Sneak Attack feature.
The extra damage is 1d6.You know how to strike subtly and exploit a foe's distraction.
Once per turn, you can deal an extra 1d6 damage to one creature you hit with an attack if you have advantage on the attack roll.
The attack must use a finesse or a ranged weapon.You don't need advantage on the attack roll if another enemy of the target is within 5 feet of it, that enemy isn't incapacitated, and you don't have disadvantage on the attack roll.",https://5e.tools/feats.html#sneak%20attack_tlotrr
Song-Craft,TLotRR,65,,,No,"You have been trained in the art of singing, according to the tradition of the wandering minstrels.
Your musical lore runs deeper than most, as you partake of the knowledge of the mighty singers of old.
As an action, you can spend a craft slot and make a Charisma (Performance) check, contested by the Intelligence (Riddle) check of each creature of your choice within 30 feet of you that can hear you.
A creature can choose to fail its ability check if it wishes.
For each target against which you win the contest, choose one of the following options:You can suppress any effect causing the target to be charmed or frightened until the end of your next turn.
This effect ends if the target can no longer hear you.You can make the target indifferent about creatures of your choice that it is hostile towards until the end of your next turn.
The target also has disadvantage on Wisdom (Perception) checks made to perceive any creature other than you for the same duration.
This effect ends if the target can no longer hear you, it is harmed, or if it witnesses any of its friends being harmed.Until the end of your next turn, whenever the target makes an attack roll or a saving throw, the target must roll a d4 and either add the number rolled to the attack roll or saving throw (if the target is friendly to you), or subtract it (if the target is hostile).
This effect ends if the target can no longer hear you.When you reach 5th level, you can use a bonus action on each of your turns to extend the duration of each of these effects on all targets until the end of your next turn, up to 1 minute.",https://5e.tools/feats.html#song-craft_tlotrr
Soul of the Storm Giant,BGG,19,"4th level, strike of the giants (storm strike)",,No,"You've manifested the tempest magic emblematic of storm giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Wisdom, or Charisma by 1, to a maximum of 20.Maelstrom Aura.
As a bonus action, you surround yourself with an aura of magical wind and lightning that extends 10 feet from you in every direction but not through total cover.
The aura lasts until the start of your next turn or until you are incapacitated.
While the aura is active, you have resistance to lightning and thunder damage.
In addition, attack rolls against you have disadvantage, and whenever another creature starts its turn within the aura, you can force the creature to make a Strength saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat).
On a failed save, the creature's speed is halved until the start of its next turn.
You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#soul%20of%20the%20storm%20giant_bgg
Speech of the Ancient Beasts,HumblewoodCampaignSetting,47,,,No,"You have a special connection with the natural world.
Great beasts regard you as their kin, and you possess the ability to speak the languages of the most powerful and mystic of their kind.
You gain the following benefits:Increase your Charisma score by 1, to a maximum of 20.Beasts of Large size or larger have a friendly disposition toward you unless you have attacked them.You have advantage on Charisma checks made against beasts that are of Large size or larger.You can speak and understand Giant Eagle, Giant Elk, and Giant Owl.
You can otherwise be understood by any beast of Large size or larger, whether or not they speak a language.
Beasts with Intelligence scores of 4 or lower may only be able to understand simple concepts.",https://5e.tools/feats.html#speech%20of%20the%20ancient%20beasts_humblewoodcampaignsetting
Speech-Craft,TLotRR,65,,,No,"You are a student of Sindarin and Quenya, the Ancient Tongue, and have advantage on Charisma checks when interacting with Elves.In addition, as an action you can spend a craft slot and choose a creature other than an Elf, or a Wizard, or a similarly powerful creature, within 30 feet of you who can hear you.
Then, choose one of the following options:Make a Charisma (Intimidation) check contested by the target's Charisma (Intimidation) check.
A target has advantage on this check if it is Large or larger or if it cannot understand you.
If you win the contest, the target is frightened of you for 1 minute.
The frightened target can make a Charisma (Intimidation) check against your passive Charisma (Intimidation) score at the end of each of its turns, ending the effect on itself on a success.
When you reach 5th level, you can target one additional creature, or two additional creatures at 9th level.Make a Charisma (Intimidation) or Charisma (Persuasion) check contested by the target's Wisdom (Insight) check.
A target has advantage on this check if it is immune to being charmed or if it cannot understand you.
If you win the contest, you can speak a one-word command that the target must follow on its next turn, if it can and if the command is not directly harmful to it.
Once the target has executed the command, it ends its turn.
Some typical commands include ""Fall!"" (the target falls prone), ""Flee!"" (the target moves away from you), and ""Halt!"" (the target doesn't move and takes no actions), and the effect may be considered a Misdeed depending on the circumstances.
When you reach 5th level, you can target one additional creature, or two additional creatures at 9th level.",https://5e.tools/feats.html#speech-craft_tlotrr
Spell Sniper,PHB,170,The ability to cast at least one spell,,No,"You have learned techniques to enhance your attacks with certain kinds of spells, gaining the following benefits:When you cast a spell that requires you to make an attack roll, the spell's range is doubled.Your ranged spell attacks ignore half cover and three-quarters cover.You learn one cantrip that requires an attack roll.
Choose the cantrip from the bard, cleric, druid, sorcerer, warlock, or wizard spell list.
Your spellcasting ability for this cantrip depends on the spell list you chose from:
Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard.",https://5e.tools/feats.html#spell%20sniper_phb
Squat Nimbleness,XGE,75,Dwarf or a Small race,,No,"You are uncommonly nimble for your race.
You gain the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.Increase your walking speed by 5 feet.You gain proficiency in the Acrobatics or Athletics skill (your choice).You have advantage on any Strength (Athletics) or Dexterity (Acrobatics) check you make to escape from being grappled.",https://5e.tools/feats.html#squat%20nimbleness_xge
Squire of Solamnia,DSotDQ,34,"Dragonlance Campaign; Fighter, Paladin, or Knight of Solamnia",,No,"Your training in the ways of the Knights of Solamnia grants you these benefits:Mount Up.
Mounting or dismounting costs you only 5 feet of movement.Precise Strike.
Once per turn, when you make a weapon attack roll against a creature, you can cause the attack roll to have advantage.
If the attack hits, you roll a d8 and add the number rolled as a bonus to the attack's damage roll.
You can use this benefit a number of times equal to your proficiency bonus, but a use is expended only if the attack hits.
You regain all expended uses when you finish a long rest.
Membership in Knightly Orders[–] Knights of Solamnia are only ever members of one of their organization's orders.
In the course of their training, most knights begin as members of the Knights of the Crown and then move on to join other orders.
Whether a character follows this path or another, they retain what they learned as a member of an order even if they join another.
Characters can change what knightly order they're a part of, but they always have access to any Knight of Solamnia feats they've acquired.",https://5e.tools/feats.html#squire%20of%20solamnia_dsotdq
Stone-Hard,TLotRR,84,,,No,"The Dwarves were made to be strong to endure, for they came unto the world when a great evil ruled Middle-earth.
As long as your spirit supports your strength you can resist any hurt of body more hardily than most.Increase your Constitution score by 1, to a maximum of 20.When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead.
You cannot use this feature again until you finish a short or long rest.",https://5e.tools/feats.html#stone-hard_tlotrr
Stout-Hearted,TLotRR,82,,,No,"Living for many a year under the ever-present menace of Smaug the Dreadful has made the Bardings a courageous race.
After all, there are not many creatures more fearsome than a great Dragon...Increase your Wisdom or Charisma by 1, to a maximum of 20.You have advantage on Charisma saving throws, and you cannot be frightened by non-undead creatures.",https://5e.tools/feats.html#stout-hearted_tlotrr
Strange as News from Bree,TLotRR,89,,,No,"It is indeed true that the affairs of the four villages are the chief concern of the Bree-folk, but the most inquisitive among the inhabitants are always ready to gather what tidings come from distant lands.
You have learnt that listening to the strange tales that travellers often talk about can prove to be very precious.Increase your Intelligence or Wisdom by 1, to a maximum of 20.You gain proficiency in the Investigation skill.
If you are already proficient, you add double your proficiency bonus to checks you make with it.During each Fellowship Phase, you can receive a rumour from the Loremaster.",https://5e.tools/feats.html#strange%20as%20news%20from%20bree_tlotrr
Strength of Will,TLotRR,91,,,No,"You have been raised in a land dotted with desolate ruins and burial mounds.
You have heard the dead whisper with cold voices out of lonely barrows, while ghostly lights dance on haunted hills.
When your will strengthens your heart, there is hardly anything in this world that can dismay you.Increase your Wisdom or Charisma by 1, to a maximum of 20.You have advantage on Charisma saving throws.Whenever you must make a Charisma saving throw, you gain a bonus to the saving throw equal to your Wisdom modifier (minimum +1).",https://5e.tools/feats.html#strength%20of%20will_tlotrr
Strike of the Giants,BGG,19,Martial Proficiency or Giant Foundling,,No,"You have absorbed primeval magic that gives you an echo of the might of giants.
When you take this feat, choose one of the benefits listed below.
Once per turn, when you hit a target with a melee weapon attack or a ranged weapon attack using a thrown weapon, you can imbue the attack with an additional effect depending on the benefit you chose:
Cloud Strike.
The target takes an extra 1d4 thunder damage.
If the target is a creature, it must succeed on a Wisdom saving throw, or you become invisible to it until the start of your next turn or until immediately after you make an attack roll or cast a spell.
Fire Strike.
The target takes an extra 1d10 fire damage.
Frost Strike.
The target takes an extra 1d6 cold damage.
If the target is a creature, it must succeed on a Constitution saving throw, or its speed is reduced to 0 until the start of your next turn.
Hill Strike.
The target takes an extra 1d6 damage of the weapon's type.
If the target is a creature, it must succeed on a Strength saving throw or have the prone condition.
Stone Strike.
The target takes an extra 1d6 force damage.
If the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet from you in a straight line.
Storm Strike.
The target takes an extra 1d6 lightning damage.
If the target is a creature, it must succeed on a Constitution saving throw, or it has disadvantage on attack rolls until the start of your next turn.The saving throw DC for these effects equals 8 + your proficiency bonus + your Strength or Constitution modifier.You can use this feat a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#strike%20of%20the%20giants_bgg
Strixhaven Initiate,SCC,36,,,No,See 5etools link for full description,https://5e.tools/feats.html#strixhaven%20initiate_scc
