"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Swarm of Animated Books","Medium","swarm of Tiny Constructs","","12 (natural armor)","22 (4d8 + 4)","0 ft., fly 30 ft. (hover)","10","13","12","1","10","1","","","fire","","poison, psychic","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","blindsight 60 ft. (blind beyond this radius), passive Perception 10","—","1/4 (50 XP)","False Objects. If the swarm is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the swarm move or act, that creature must succeed on a DC 15 Wisdom (Perception) check to discern that the swarm is animate.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a 1-foot-tall, 8-inch-wide, 2-inch-thick object. The swarm can't regain hit points or gain temporary hit points.","Book Club. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 6 (2d4 + 1) bludgeoning damage, or 3 (1d4 + 1) bludgeoning damage if the swarm has half its hit points or fewer.","","","","","","","",""
"Swarm of Bats","Large","swarm of Tiny Beasts","unaligned","12","11 (2d10)","5 ft., fly 30 ft.","5","15","10","2","12","4","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 60 ft., passive Perception 11","—","1/4 (50 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (2d4) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.","","","","","","","Forest, Mountain, Underdark, Urban",""
"Swarm of Books","Medium","swarm of Tiny Constructs","unaligned","12","22 (5d8)","0 ft., fly 30 ft.","5","15","10","2","12","4","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 60 ft., passive Perception 11","—","1/4 (50 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny book. The swarm can't regain hit points or gain temporary hit points.","Slam. Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) bludgeoning damage, or 2 (1d4) bludgeoning damage if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Campestris","Medium","swarm of Tiny Plants","unaligned","12 (natural armor)","27 (6d8)","5 ft.","3","7","10","4","10","8","","Perception +4","","bludgeoning, piercing, slashing","","charmed, grappled, paralyzed, petrified, prone, restrained, stunned","tremorsense 30 ft., passive Perception 14","understands Common but speaks only through the use of its Mimicry trait","1 (200 XP)","Mimicry. Each campestri in the swarm can mimic any voice or song it has heard, albeit in a nasal falsetto.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough to accommodate an individual campestri. The swarm can't regain hit points or gain temporary hit points.","Head Butts. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 10 (4d4) bludgeoning damage, or 5 (2d4) bludgeoning damage if the swarm has half its hit points or fewer.
Spores (1/Day). A 20-foot radius of spores extends from the swarm. These spores can go around corners, and they have no effect on Constructs, Elementals, Plants, or Undead. Each other creature in the area must make a DC 10 Wisdom saving throw. On a failed save, the creature is incapacitated and its speed is halved, both for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","",""
"Swarm of Cranium Rats","Medium","swarm of Tiny Aberrations","lawful evil","12","76 (17d8)","30 ft.","9","14","10","15","11","14","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., passive Perception 10","telepathy 30 ft.","5 (1,800 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points.
Telepathic Shroud. The swarm is immune to any effect that would sense its emotions or read its thoughts, as well as to all divination spells.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer, plus 22 (5d8) psychic damage.
Spellcasting (Psionics). As long as it has more than half of its hit points remaining, the swarm casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 13):At will: command, comprehend languages, detect thoughts1/day each: confusion, dominate monster","Illumination. The swarm sheds dim light from its brains in a 5-foot radius, increases the illumination to bright light in a 5- to 20-foot radius (and dim light for an additional number of feet equal to the chosen radius), or extinguishes the light.","","","","","","Underdark, Urban",""
"Swarm of Crawling Claws","Medium","swarm of Tiny Undead","neutral evil","12","49 (11d8)","30 ft., climb 30 ft.","14","14","11","5","10","4","","","","bludgeoning, piercing, slashing","necrotic, poison","charmed, exhaustion, frightened, grappled, incapacitated, paralyzed, petrified, poisoned, prone, restrained, stunned","blindsight 30 ft., passive Perception 10","understands Common but can't speak","3 (700 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Swarm of Grasping Hands. Melee Attack Roll: +4, reach 5 ft. Hit: 20 (4d8 + 2) Necrotic damage, or 11 (2d8 + 2) Necrotic damage if the swarm is Bloodied. If the target is a Medium or smaller creature, it has the Prone condition.","","","","","","","Any",""
"Swarm of Dretches","Large","swarm of Small Fiends (Demon)","chaotic evil","12","45 (6d10 + 12)","40 ft.","14","11","14","5","8","3","","","","bludgeoning, cold, fire, lightning, piercing, slashing","poison","charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","darkvision 60 ft., passive Perception 9","Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)","4 (1,100 XP)","Fetid Aura. Constitution Saving Throw: DC 12, any creature that starts its turn in a 10-foot Emanation originating from the swarm. Failure: The target has the Poisoned condition until the start of its next turn. While Poisoned, the target can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Small creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Multiattack. The swarm makes two Rend attacks.
Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 12 (3d6 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the swarm is Bloodied.","","","","","","","Planar (Abyss)",""
"Swarm of Fire Dancers","Medium","swarm of Tiny Elementals","neutral evil","15","90 (12d8 + 36)","30 ft., fly 30 ft. (hover)","10","20","16","6","10","7","","","","bludgeoning, piercing, slashing","fire, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned, unconscious","darkvision 60 ft., passive Perception 10","Ignan","7 (2,900 XP)","Elemental Nature. The swarm of fire dancers doesn't require air, food, drink, or sleep.
Fire Form. A creature that touches the swarm or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. In addition, the first time the swarm enters a creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire. Until a creature, which can include the target, uses an action to douse the fire, the creature takes 5 (1d10) fire damage at the start of each of its turns.
Illumination. The swarm sheds bright light in a 30-foot radius and dim light to an additional 30 feet.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny Elemental. The swarm can't regain hp or gain temporary hp.
Water Susceptibility. For every 5 feet the swarm moves in water, or for every gallon of water splashed on it, it takes 1 cold damage.","Multiattack. The swarm of fire dancers can use its Frightening Visage, if available. It then makes two Singe attacks.
Singe. Melee Weapon Attack: +8 to hit, reach 0 ft., one target in the swarm's space. Hit: 22 (4d10) fire damage, or 11 (2d10) fire damage if the swarm has half its hp or fewer.
Frightening Visage (Recharge 5–6). The swarm rearranges itself into the shape of a giant, blue, flaming Humanoid skull. Each Humanoid within 30 feet of the swarm that can see it must succeed on a DC 16 Wisdom saving throw or be frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","Planar",""
"Swarm of Giant Mosquitoes","Large","swarm of Small Beasts","unaligned","13","39 (6d10 + 6)","10 ft., fly 30 ft.","9","16","13","2","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., passive Perception 10","—","1 (200 XP)","Bloodmire Adaptation. The mosquito is immune to the diseases described in the Bloodmire Diseases table.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Small mosquito. The swarm can't regain hit points or gain temporary hit points.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Gibberlings","Large","swarm of Small Fiends","chaotic evil","12","38 (7d10)","30 ft.","18","14","11","5","7","5","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 120 ft., passive Perception 8","Gibberling","3 (700 XP)","Aversion to Fire. If the swarm takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.
Incessant Gibberish. Any non-gibberling that is within 60 feet of the swarm and doesn't have the deafened condition has disadvantage on Constitution saving throws to maintain concentration on spells and similar effects.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough to accommodate a Small gibberling. The swarm can't regain hit points or gain temporary hit points.","Multiattack. The swarm makes two Gnashing Teeth attacks.
Gnashing Teeth. Melee Weapon Attack: +6 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d4 + 4) piercing damage, or 9 (2d4 + 4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Gremishkas","Medium","swarm of Tiny Monstrosities","","12","24 (7d6)","25 ft.","12","14","10","12","14","4","","Perception +4","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., passive Perception 14","understands Common but can't speak","2 (450 XP)","Limited Spell Immunity. The swarm automatically succeeds on saving throws against spells of 3rd level or lower, and the attack rolls of such spells always miss it.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny gremishka. The swarm can't regain hit points or gain temporary hit points.","Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one target in the swarm's space. Hit: 12 (3d6 + 2) piercing damage, or 5 (1d6 + 2) piercing damage if the swarm has half of its hit points or fewer, plus 7 (2d6) force damage.","","Spell Redirection. In response to a spell attack roll missing the swarm, the swarm causes that spell to hit another creature of its choice within 30 feet of it that it can see.","","","","","",""
"Swarm of Hoard Scarabs","Medium","swarm of Tiny Monstrosities","unaligned","14 (natural armor)","31 (7d8)","20 ft., burrow 20 ft., fly 20 ft.","6","16","11","3","8","6","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., tremorsense 60 ft., passive Perception 9","—","2 (450 XP)","False Appearance. If the swarm is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the swarm move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the swarm is animate.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny scarab. The swarm can't regain hit points or gain temporary hit points.","Swarm of Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 13 (3d6 + 3) piercing damage, or 6 (1d6 + 3) piercing damage if the swarm is at half of its hit points or fewer, and the target has disadvantage on attack rolls until the start of its next turn.","Scale Dust (1/Day). The swarm releases magical glittering dust from its wings. Each creature within 10 feet of the swarm must succeed on a DC 13 Dexterity saving throw or be outlined in blue light for 10 minutes. While outlined in this way, a creature sheds dim light in a 10-foot radius and can't benefit from being invisible. In addition, every Dragon within 1 mile of the creature becomes aware of it and can unerringly track the creature. Casting dispel magic on the creature ends the effect on it.","","","","","","",""
"Swarm of Insects","Medium","swarm of Tiny Beasts (Soldier)","unaligned","12","18 (4d8)","20 ft., climb 20 ft.","3","14","10","2","9","2","","","","bludgeoning, piercing, slashing","","charmed, dazed, flanked, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 9","—","1/2 (100 XP)","Multitudinous. The swarm has advantage on opportunity attacks, and creatures provoke opportunity attacks from the swarm even if they take the Disengage action before leaving the swarm's reach.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.","Bite. Melee Weapon Attack: +4 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half their hit points or fewer.
Distracting Buzz. If the swarm has at least half their hit points remaining, they emit an annoying drone, buzz, or skittering sound. Until the start of the swarm's next turn, creatures within 15 feet of the swarm who can hear them have disadvantage on attack rolls against creatures other than the swarm.","","","","","","","",""
"Swarm of Insects","Medium","swarm of Tiny Beasts","unaligned","11","19 (3d8 + 6)","20 ft.; climb or fly 20 ft. (DM's choice)","3","13","14","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 30 ft., passive Perception 8","—","1/2 (100 XP)","Spider Climb. If the swarm has a Climb Speed, the swarm can climb difficult surfaces, including along ceilings, without needing to make an ability check.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +3, reach 5 ft. Hit: 6 (2d4 + 1) Poison damage, or 3 (1d4 + 1) Poison damage if the swarm is Bloodied.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban",""
"Swarm of Larvae","Large","swarm of Medium Fiends","neutral evil","13","22 (3d10 + 6)","30 ft.","14","11","14","6","12","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., passive Perception 11","understands all but can't speak","1 (200 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through an opening large enough for a Medium creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Necrotic damage, or 7 (2d4 + 2) Necrotic damage if the swarm is Bloodied.","","","","","","","Planar (Lower Planes)",""
"Swarm of Lemures","Large","swarm of Medium Fiends (Devil)","lawful evil","12","45 (6d10 + 12)","40 ft.","14","7","14","1","12","3","","","","bludgeoning, cold, piercing, slashing","fire, poison","charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 11","understands Infernal but can't speak","3 (700 XP)","Hellish Restoration. If the swarm dies in the Nine Hells, it revives with all its Hit Points in 1d10 days unless it is killed by a creature under the effects of a Bless spell or its remains are sprinkled with Holy Water.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through an opening large enough for a Medium creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Multiattack. The swarm makes two Vile Slime attacks.
Vile Slime. Melee Attack Roll: +4, reach 5 ft. Hit: 11 (2d8 + 2) Poison damage, or 9 (2d6 + 2) Poison damage if the swarm is Bloodied.","","","","","","","Planar (Nine Hells)",""
"Swarm of Maggots","Medium","swarm of Tiny Beasts","","11","22 (5d8)","20 ft., swim 20 ft.","3","12","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","2 (450 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points.","Infestation. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer. A creature damaged by the swarm must succeed on a DC 12 Constitution saving throw or contract a disease.Each time the diseased creature finishes a long rest, roll a d6 to determine the disease's effect:1-2. The creature is blinded until it finishes a long rest.3-4. The creature's hit point maximum decreases by 5 (2d4), and the reduction can't be removed until the disease ends. The creature dies if its hit point maximum drops to 0.5-6. The creature has disadvantage on ability checks and attack rolls until it finishes its next long rest.The disease lasts until it's removed by magic or until the creature rolls the same random effect for the disease two long rests in a row.","","","","","","","",""
"Swarm of Manabane Scarabs","Medium","swarm of Tiny Beasts","unaligned","15 (natural armor)","82 (11d8 + 33)","20 ft., burrow 10 ft., climb 20 ft., fly 10 ft.","3","16","16","1","13","2","","Perception +3, Stealth +5","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., darkvision 30 ft., tremorsense 30 ft., passive Perception 13","—","4 (1,100 XP)","Limited Magic Immunity. The swarm of manabane scarabs can't be affected or detected by spells of 2nd level or lower unless it wishes to be. It has advantage on saving throws against all other spells and magical effects.
Sense Magic. The swarm of manabane scarabs senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hp or gain temporary hp.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 28 (8d6) piercing damage, or 14 (4d6) piercing damage if the swarm has half of its hit points or fewer, and the swarm can attempt to end one random magical effect of 2nd level or lower on the target. This effect works like the dispel magic spell, except the swarm must always make an ability check. Its ability check for this is +5.","Drain Magic Item. The swarm drains the magic from one magic item in its space that isn't being worn or carried. A magic item with charges loses 1d4 charges, an item with limited uses per day loses one daily use, and a single-use item, such as a potion or spell scroll is destroyed. All other magic items have their effects suppressed for 1 minute. A drained item regains its magic after 1 hour.","","","","","","Desert",""
"Swarm of Mechanical Spiders","Medium","swarm of Tiny Constructs","unaligned","12 (natural armor)","22 (5d8)","20 ft., climb 20 ft.","3","13","10","1","7","1","","","lightning","bludgeoning, piercing, slashing","","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)","Constructed Nature. The swarm doesn't require air, food, drink, or sleep.
Spider Climb. The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.
Web Sense. While in contact with a web, the swarm knows the exact location of any other creature in contact with the same web.
Web Walker. The swarm ignores movement restrictions caused by webbing.","Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Piranhas","Medium","swarm of Tiny Beasts","unaligned","13","28 (8d8 - 8)","0 ft., swim 40 ft.","13","16","9","1","7","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., passive Perception 8","—","1 (200 XP)","Blood Frenzy. The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny piranha. The swarm can't regain hit points or gain temporary hit points.
Water Breathing. The swarm can breathe only underwater.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Piranhas","Medium","swarm of Tiny Beasts","unaligned","13","28 (8d8 - 8)","5 ft., swim 40 ft.","13","16","9","1","7","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., passive Perception 8","—","1 (200 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny piranha. The swarm can't regain Hit Points or gain Temporary Hit Points.
Water Breathing. The swarm can breathe only underwater.","Bites. Melee Attack Roll: +5 (with Advantage if the target doesn't have all its Hit Points), reach 5 ft. Hit: 8 (2d4 + 3) Piercing damage, or 5 (1d4 + 3) Piercing damage if the swarm is Bloodied.","","","","","","","Underwater",""
"Swarm of Prismatic Beetles","Medium","swarm of Tiny Beasts","unaligned","13","60 (11d8 + 11)","20 ft., burrow 5 ft., fly 30 ft.","3","16","12","1","13","2","","Perception +3, Stealth +5","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., darkvision 30 ft., passive Perception 13","—","3 (700 XP)","Glittering Carapace. When a creature that can see the swarm starts its turn within 30 feet of the swarm and the swarm is in bright or dim light, the swarm can force the creature to make a DC 13 Wisdom saving throw if the swarm isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature falls unconscious. Otherwise, a creature that fails the save is incapacitated and its speed is reduced to 0 until the start of its next turn, as it remains transfixed in place by the glitter of the swarm. A creature has advantage on the saving throw if the swarm is in dim light. Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see the swarm until the start of its next turn, when it can avert its eyes again. If the creature looks at the swarm in the meantime, it must immediately make the save.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hp or gain temporary hp.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hp or fewer. The target must make a DC 13 Constitution saving throw. On a failure, a creature takes 10 (4d4) poison damage and is euphoric for 1 minute. On a success, a creature takes half the damage and isn't euphoric. A euphoric creature has disadvantage on saving throws. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","Forest",""
"Swarm of Rain Hornets","Medium","swarm of Tiny Elementals","unaligned","14 (natural armor)","33 (6d8 + 6)","5 ft., fly 40 ft.","5","16","12","1","9","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 9","—","2 (450 XP)","Downpour. If the swarm moves at least 20 feet straight toward a target and then hits it with an attack on the same turn, the target takes an extra 7 (2d6) piercing damage.
Freezing Rain. If the swarm takes cold damage, whenever it hits a creature with an attack before the end of its next turn, the attack deals cold damage instead of its normal damage type.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny hornet. The swarm can't regain hit points or gain temporary hit points.","Stings. Melee Weapon Attack: +5 to hit, reach Oft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","",""
"Swarm of Rats","Medium","swarm of Tiny Beasts","unaligned","10","14 (4d8 - 4)","30 ft., climb 30 ft.","9","11","9","2","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., passive Perception 10","—","1/4 (50 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +2, reach 5 ft. Hit: 5 (2d4) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.","","","","","","","Forest, Swamp, Underdark, Urban",""
"Swarm of Ravens","Medium","swarm of Tiny Beasts","unaligned","12","11 (2d8 + 2)","10 ft., fly 50 ft.","6","14","12","5","12","6","","Perception +5","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","passive Perception 15","—","1/4 (50 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain Hit Points or gain Temporary Hit Points.","Beaks. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.
Cacophony (Recharge 6). Wisdom Saving Throw: DC 10, one creature in the swarm's space. Failure: The target has the Deafened condition until the start of the swarm's next turn. While Deafened, the target also has Disadvantage on ability checks and attack rolls.","","","","","","","Hill, Swamp, Urban",""
"Swarm of Rot Grubs","Medium","swarm of Tiny Beasts","unaligned","8","22 (5d8)","5 ft., climb 5 ft.","2","7","10","1","2","1","","","fire","piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained","blindsight 10 ft., passive Perception 6","—","1/2 (100 XP)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points.","Bites. Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned. At the end of each of the poisoned target's turns, the target takes 3 (1d6) poison damage. Whenever the poisoned target takes fire damage, the target can repeat the saving throw, ending the effect on itself on a success. If the poisoned target ends its turn with 0 hit points, it dies.","","","","","","","Swamp, Underdark",""
"Swarm of Scarabs","Medium","swarm of Tiny Beasts","","13 (natural armor)","27 (5d8 + 5)","30 ft., burrow 30 ft., climb 30 ft.","3","14","13","1","12","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","tremorsense 60 ft., passive Perception 11","—","3 (700 XP)","Skeletonize. If the swarm starts its turn in the same space as a dead creature that is Large or smaller, the corpse is destroyed, leaving behind only equipment and bones (or exoskeleton).
Spider Climb. The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny scarab. The swarm can't regain hit points or gain temporary hit points.","Ravenous Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer. If the target is a creature, scarabs burrow into its body, and the creature takes 3 (1d6) piercing damage at the start of each of its turns. Any creature can use an action to kill or remove the scarabs with fire or a weapon that deals piercing damage, causing 1 damage of the appropriate type to the target. A creature reduced to 0 hit points by the swarm's piercing damage dies.","","","","","","","",""
